sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,airTemperature,dewTemperature,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,month,day_of_week
2287.2015,95.3000625,89.3438,178.6877,89.3438,107.2126,89.3438,23.291666666666668,19.625,0.0,1018.6636363636364,150.41666666666666,2.5208333333333335,1,4
2287.2018,95.300075,71.4751,125.0814,89.3438,89.3438,89.3438,18.3625,14.15,0.0,1018.8333333333334,157.5,4.133333333333334,1,5
2519.4959,104.97899583333331,89.3438,196.5565,107.2126,89.3438,107.2126,13.641666666666666,11.825,7.333333333333333,1016.7478260869566,314.1666666666667,4.829166666666667,1,6
2448.0209,102.00087083333334,71.4751,125.0814,107.2126,107.2126,107.2126,12.920833333333334,3.504166666666667,10.0,1016.5,283.3333333333333,4.541666666666667,1,0
2501.6272,104.23446666666666,89.3438,125.0814,107.2126,89.3438,107.2126,14.6875,7.991666666666667,,1023.5041666666666,115.41666666666669,6.2625,1,1
2519.496,104.979,89.3438,142.9502,89.3438,107.2126,107.2126,15.454166666666666,13.170833333333334,1.3333333333333333,1021.2,281.6666666666667,5.570833333333333,1,2
2501.6271,104.2344625,89.3438,196.5565,107.2126,89.3438,107.2126,16.933333333333334,14.325,-1.0,1016.3086956521738,229.0909090909091,3.3666666666666667,1,3
2376.5456,99.02273333333332,89.3438,125.0814,89.3438,89.3438,89.3438,17.5625,16.304166666666667,27.666666666666668,1013.3130434782609,73.75,2.1083333333333334,1,4
2894.7402,120.614175,71.4751,214.4252,107.2126,89.3438,107.2126,17.662499999999998,16.4375,40.0,1011.675,107.08333333333331,1.9875,1,5
3877.5228,161.56345000000002,89.3438,393.1129,125.0814,214.4252,125.0814,18.075,14.629166666666668,20.0,1013.6583333333332,260.4166666666667,4.5375,1,6
6575.707,298.89577272727274,89.3438,679.0133,268.0315,107.2126,223.3596,10.5875,3.475,,1021.3708333333334,257.39130434782606,3.579166666666666,1,0
5432.1057,258.6717,89.3438,643.2757,142.9502,232.294,232.294,11.183333333333332,0.5166666666666666,,1022.175,330.0,3.2083333333333335,1,1
6254.0693,297.8128238095238,89.3438,732.6196,107.2126,268.0315,214.4252,11.695833333333333,1.3375,,1022.9666666666668,266.25,3.3041666666666667,1,2
6146.8569,292.7074714285714,89.3438,661.1445,357.3754,142.9502,250.1628,14.2375,7.520833333333333,,1020.3333333333334,100.0,3.2875,1,3
4002.6044,166.77518333333333,89.3438,375.2442,89.3438,107.2126,125.0814,18.829166666666666,15.1125,125.0,1009.5739130434785,202.91666666666663,4.908333333333333,1,4
3305.7222,137.738425,89.3438,250.1628,142.9502,160.8189,125.0814,18.576190476190476,12.50952380952381,0.0,1011.1666666666666,203.75,3.295833333333333,1,5
3806.0478,158.58532499999998,89.3438,268.0315,107.2126,125.0814,151.88455,15.929166666666667,11.4375,103.0,1008.8625,240.41666666666663,5.816666666666666,1,6
4324.242,180.17675,89.3438,303.7691,285.9003,214.4252,178.6877,10.904166666666669,0.8125,,1022.2041666666668,332.60869565217394,4.0,1,0
6897.3452,299.8845739130435,89.3438,661.1445,232.294,125.0814,321.6379,8.645833333333334,-2.504166666666667,,1027.9125,264.1666666666667,4.7875000000000005,1,1
6432.7571,292.39805,89.3438,661.1445,142.9502,107.2126,214.4252,10.408333333333331,1.5708333333333335,,1025.6791666666666,190.41666666666663,1.9375,1,2
6843.7388,325.8923238095238,107.2126,679.0133,232.294,285.9003,250.1628,13.958333333333334,8.845833333333333,,1021.7916666666666,77.91666666666667,1.9708333333333332,1,3
4199.1606,174.965025,89.3438,357.3754,142.9502,268.0315,160.8189,16.808333333333334,12.8125,6.5,1010.1416666666668,191.25,5.616666666666667,1,4
3698.8353,154.11813750000002,89.3438,250.1628,160.8189,125.0814,142.9502,9.025,3.2458333333333336,5.0,1011.2583333333332,282.9166666666667,8.05,1,5
4306.3736,179.43223333333333,89.3438,428.8505,142.9502,178.6877,142.9502,6.483333333333333,-1.945833333333333,,1021.6375,262.60869565217394,3.6375,1,6
7737.1773,351.6898772727273,89.3438,732.6196,178.6877,357.3754,357.3754,11.525,6.370833333333334,,1024.5916666666667,73.47826086956522,1.5666666666666669,1,0
8291.1092,345.46288333333337,89.3438,714.7508,321.6379,160.8189,312.70349999999996,16.849999999999998,13.291666666666666,0.0,1022.3166666666666,100.43478260869566,2.2333333333333334,1,1
7522.7521,313.44800416666664,89.3438,714.7508,125.0814,268.0315,259.09715,18.4875,17.583333333333332,98.75,1015.4260869565215,121.66666666666669,2.5749999999999997,1,2
7308.3268,348.0155619047619,89.3438,661.1445,178.6877,268.0315,268.0315,17.754166666666666,16.8875,67.5,1010.7761904761904,153.91304347826087,1.825,1,3
4074.0792,169.7533,89.3438,285.9003,268.0315,125.0814,151.88455,14.35,5.995833333333334,8.0,1016.7782608695652,285.4166666666667,4.933333333333334,1,4
3162.7719,131.7821625,89.3438,303.7691,303.7691,125.0814,116.147,14.108333333333334,6.0625,,1021.125,119.0909090909091,1.5041666666666669,1,5
3305.7219,137.7384125,89.3438,446.7192,89.3438,446.7192,107.2126,16.695833333333333,11.7375,,1020.0833333333334,64.58333333333333,1.1416666666666668,1,6
6093.2505,276.96593181818184,89.3438,553.9319,232.294,285.9003,294.8347,21.233333333333334,15.904166666666669,,1017.0833333333334,98.69565217391305,1.7791666666666668,2,0
7665.702,333.2913913043478,89.3438,625.4069,268.0315,125.0814,285.9003,21.475,18.575,,1018.2409090909092,99.58333333333331,3.3874999999999997,2,1
7147.5078,310.7612086956522,89.3438,732.6196,160.8189,196.5565,250.1628,23.4,19.166666666666668,,1017.9416666666666,145.41666666666666,5.075,2,2
7379.8019,320.860952173913,89.3438,696.882,446.7192,125.0814,303.7691,22.11666666666667,18.6875,-1.0,1016.6625,196.66666666666663,5.2749999999999995,2,3
4770.9612,198.79005,89.3438,410.9817,321.6379,178.6877,169.75330000000002,11.654166666666669,2.408333333333333,30.0,1023.3875,257.5,6.741666666666667,2,4
4449.3234999999995,185.38847916666663,89.3438,375.2442,375.2442,107.2126,169.75335,13.3125,10.316666666666666,39.5,1020.5260869565216,258.75,3.7625,2,5
4485.0611,186.87754583333333,89.3438,357.3754,250.1628,214.4252,169.75330000000002,9.95,3.2708333333333335,30.0,1016.375,291.6666666666667,6.220833333333334,2,6
6700.7887,291.3386391304348,107.2126,661.1445,285.9003,142.9502,178.6877,11.645833333333334,4.1875,,1015.9291666666668,233.33333333333337,4.566666666666667,2,0
7844.3898,341.0604260869565,107.2126,732.6196,268.0315,375.2442,357.3754,12.683333333333332,0.9291666666666668,-1.0,1015.55,274.5833333333333,7.308333333333334,2,1
6825.8701,296.77696086956524,89.3438,696.882,214.4252,375.2442,250.1628,9.933333333333334,-3.1374999999999997,,1022.2833333333332,284.5833333333333,5.304166666666666,2,2
6575.7074,298.8957909090909,89.3438,732.6196,268.0315,250.1628,259.09715,10.6375,-0.1791666666666667,,1025.4875,243.04347826086956,2.3625000000000003,2,3
4413.5859,183.8994125,89.3438,464.588,268.0315,196.5565,142.95015,14.725,7.933333333333334,,1024.0375,197.91666666666663,3.4499999999999997,2,4
3502.2786,145.928275,89.3438,232.294,232.294,196.5565,151.88455,15.558333333333335,7.645833333333333,,1023.2708333333334,238.2608695652174,3.8125,2,5
3859.6542,160.818925,89.3438,321.6379,232.294,142.9502,134.0158,14.354166666666666,6.5249999999999995,,1024.3041666666666,157.08333333333334,4.129166666666666,2,6
5753.7436,273.98779047619047,89.3438,661.1445,107.2126,232.294,214.4252,17.804166666666667,12.779166666666669,-1.0,1018.8565217391304,120.43478260869566,4.220833333333333,2,0
8201.765300000001,341.74022083333335,89.3438,732.6196,357.3754,268.0315,312.70349999999996,19.458333333333332,12.345833333333331,61.5,1012.5541666666668,239.16666666666663,4.008333333333334,2,1
6450.6259,293.2102681818182,89.3438,625.4069,285.9003,339.5066,259.09715,16.2,8.654166666666667,,1019.325,271.6666666666667,2.8333333333333335,2,2
5181.9431,246.7591952380953,89.3438,732.6196,339.5066,303.7691,214.4252,16.045833333333334,8.195833333333335,,1025.6833333333334,162.5,5.05,2,3
4663.7488,194.32286666666667,89.3438,482.4568,142.9502,125.0814,169.75330000000002,16.575,9.5125,,1027.8333333333333,176.25,3.9291666666666663,2,4
3538.0163,147.41734583333334,71.4751,285.9003,71.4751,178.6877,125.0814,17.304166666666667,10.620833333333334,,1025.2875,142.08333333333334,2.5875,2,5
3859.6539,160.8189125,89.3438,375.2442,107.2126,285.9003,116.147,18.383333333333333,11.608333333333334,,1021.2125,96.52173913043478,1.675,2,6
5950.3002,270.4681909090909,89.3438,589.6694,250.1628,196.5565,223.35965,20.0375,13.683333333333332,,1016.3375,108.69565217391305,2.65,2,0
6629.3134,301.3324272727273,89.3438,696.882,178.6877,303.7691,303.7691,20.845833333333335,17.587500000000002,3.75,1012.775,144.58333333333334,3.9416666666666664,2,1
6325.5444,275.0236695652174,89.3438,732.6196,125.0814,196.5565,196.5565,20.925,17.554166666666667,60.0,1010.9791666666666,201.66666666666663,6.566666666666666,2,2
6933.0824999999995,301.4383695652174,89.3438,679.0133,196.5565,89.3438,232.294,14.325,4.154166666666667,,1019.0708333333332,283.3333333333333,6.645833333333333,2,3
3609.4913,150.39547083333335,89.3438,303.7691,89.3438,142.9502,125.0814,12.5,2.0875,,1022.8291666666668,295.2173913043478,3.454166666666667,2,4
4074.0793,169.75330416666665,89.3438,357.3754,214.4252,250.1628,142.9502,12.245833333333332,1.1,,1023.8125,253.75,3.204166666666667,2,5
3734.5727,155.60719583333335,89.3438,321.6379,89.3438,178.6877,134.0158,14.808333333333335,5.1875,,1024.0458333333331,162.6086956521739,2.466666666666667,2,6
6414.8881,278.9081782608696,89.3438,661.1445,160.8189,357.3754,250.1628,17.912499999999998,9.316666666666666,,1021.6333333333332,79.5,1.2666666666666668,2,0
6325.5443000000005,263.56434583333333,89.3438,643.2757,428.8505,357.3754,214.4252,19.520833333333332,11.745833333333332,,1019.9833333333332,132.91666666666666,2.2083333333333335,3,1
6414.8883,291.5858318181818,89.3438,679.0133,232.294,125.0814,205.49085,20.25,13.070833333333333,,1018.025,251.25,3.95,3,2
6539.9699,297.2713590909091,89.3438,625.4069,357.3754,285.9003,268.03155000000004,19.741666666666667,7.870833333333334,,1016.8666666666668,230.83333333333337,2.8791666666666664,3,3
3341.4596,139.22748333333334,71.4751,268.0315,142.9502,89.3438,107.2126,19.358333333333334,11.333333333333334,20.0,1015.5041666666666,199.58333333333337,4.179166666666666,3,4
2573.1023,107.21259583333334,71.4751,250.1628,107.2126,89.3438,89.3438,16.804166666666667,10.291666666666666,,1019.1625,233.4782608695652,3.029166666666667,3,5
2590.9708,107.95711666666666,89.3438,214.4252,89.3438,160.8189,98.2782,17.1375,6.925,,1021.3416666666668,195.2173913043478,4.591666666666667,3,6
2590.9709000000003,107.95712083333336,71.4751,232.294,232.294,89.3438,89.3438,18.333333333333332,9.6,,1024.3083333333334,121.25,4.004166666666666,3,0
2287.2016,95.30006666666668,89.3438,107.2126,107.2126,89.3438,89.3438,20.154166666666665,11.904166666666669,,1024.0,107.5,3.904166666666667,3,1
2537.3645,105.72352083333334,89.3438,178.6877,89.3438,89.3438,89.3438,21.1625,14.908333333333331,,1022.975,113.75,4.933333333333334,3,2
2412.2829,100.5117875,89.3438,214.4252,89.3438,89.3438,89.3438,22.858333333333334,15.933333333333332,,1023.0083333333332,134.16666666666666,4.833333333333333,3,3
2394.4144,99.76726666666669,71.4751,196.5565,89.3438,89.3438,89.3438,22.083333333333332,16.483333333333334,,1022.8625,112.91666666666669,3.375,3,4
2680.3146,111.679775,89.3438,285.9003,89.3438,107.2126,89.3438,22.583333333333332,16.808333333333334,,1020.275,115.0,3.8791666666666664,3,5
2894.7401,120.61417083333332,89.3438,250.1628,89.3438,250.1628,107.2126,23.891666666666666,18.141666666666666,-1.0,1016.4166666666666,196.25,4.1000000000000005,3,6
6629.3135,288.2310217391304,89.3438,679.0133,160.8189,268.0315,232.294,24.945833333333336,18.816666666666663,0.0,1015.1541666666668,215.41666666666663,5.3625,3,0
7969.4712,332.0613,89.3438,732.6196,446.7192,357.3754,312.70349999999996,25.195833333333336,17.208333333333332,,1015.4416666666666,260.4347826086956,3.8375,3,1
6057.5125,275.3414772727273,89.3438,589.6694,232.294,446.7192,232.294,24.566666666666663,17.545833333333334,,1016.5318181818184,271.3636363636364,3.266666666666667,3,2
6718.6575,292.11554347826086,89.3438,607.5382,250.1628,107.2126,250.1628,23.15416666666667,16.95,,1015.7708333333334,183.33333333333337,3.2416666666666667,3,3
4199.1607,174.96502916666668,71.4751,428.8505,178.6877,89.3438,142.9502,23.254166666666663,14.841666666666669,,1014.1375,214.0909090909091,2.2708333333333335,3,4
3698.835,154.118125,89.3438,410.9817,89.3438,142.9502,125.0814,21.258333333333333,17.6125,15.0,1012.0875,220.0,3.2583333333333333,3,5
3859.6539,160.8189125,89.3438,410.9817,89.3438,321.6379,107.2126,21.958333333333332,16.445833333333333,5.333333333333333,1011.7916666666666,245.41666666666663,3.654166666666667,3,6
7737.1771,322.3823791666667,89.3438,714.7508,357.3754,428.8505,294.8347,14.275,-0.8083333333333332,,1020.9208333333332,273.75,5.816666666666666,3,0
6790.1323999999995,295.2231478260869,89.3438,714.7508,321.6379,107.2126,268.0315,15.670833333333334,5.55,,1026.5208333333333,111.7391304347826,2.4666666666666663,3,1
8040.9462,335.039425,89.3438,714.7508,125.0814,428.8505,312.70345,18.933333333333337,10.5125,,1023.8,76.95652173913044,2.5208333333333335,3,2
7076.0326000000005,307.65359130434786,89.3438,732.6196,393.1129,285.9003,250.1628,20.683333333333337,16.0625,110.0,1018.0333333333332,90.83333333333331,2.9333333333333336,3,3
3502.2785,145.92827083333333,71.4751,375.2442,107.2126,89.3438,107.2126,20.4875,17.129166666666666,313.3333333333333,1015.5375,161.66666666666666,2.9250000000000003,3,4
2590.971,107.957125,89.3438,178.6877,89.3438,125.0814,98.2782,23.554166666666664,19.8875,100.0,1018.8136363636364,91.7391304347826,2.5208333333333335,3,5
2644.5771,110.1907125,89.3438,250.1628,89.3438,89.3438,89.3438,25.47083333333333,21.208333333333332,20.0,1018.6916666666666,157.5,4.291666666666667,3,6
5986.0376,272.0926181818182,71.4751,696.882,142.9502,339.5066,205.49085,24.09583333333333,20.720833333333335,16.666666666666668,1016.8695652173913,258.69565217391306,3.8625,3,0
6843.7385,311.07902272727273,89.3438,696.882,428.8505,232.294,259.09715,22.28333333333333,19.2125,70.0,1018.025,218.2608695652174,2.2833333333333337,3,1
6539.9698,284.34651304347824,89.3438,661.1445,214.4252,428.8505,268.0315,22.129166666666663,16.616666666666667,2.3333333333333335,1019.1916666666666,93.75,4.825,3,2
6825.8701,284.41125416666665,89.3438,661.1445,357.3754,357.3754,232.294,25.008333333333336,18.05,0.0,1015.2,163.75,3.4791666666666665,3,3
3931.1289,163.79703750000002,89.3438,303.7691,232.294,303.7691,142.9502,25.975,19.95,,1013.45,184.58333333333337,3.625,4,4
3502.2784,145.92826666666667,89.3438,357.3754,107.2126,89.3438,116.147,23.5625,20.329166666666666,50.0,1012.1,209.58333333333337,5.2749999999999995,4,5
4163.423,173.47595833333332,89.3438,375.2442,339.5066,321.6379,125.0814,19.354166666666668,7.4375,,1017.6708333333332,208.63636363636363,4.5125,4,6
6504.2321,295.64691363636365,89.3438,679.0133,285.9003,357.3754,268.03155000000004,20.695833333333333,10.266666666666667,,1018.9583333333334,186.95652173913044,1.804166666666667,4,0
5557.1871,241.6168304347826,89.3438,571.8006,303.7691,410.9817,214.4252,21.641666666666666,9.895833333333334,,1019.575,192.17391304347825,3.8833333333333337,4,1
7433.4079,309.72532916666665,89.3438,661.1445,303.7691,303.7691,276.96590000000003,20.725,12.158333333333331,,1020.5833333333334,89.58333333333333,4.875,4,2
6879.4763,299.10766521739134,89.3438,625.4069,285.9003,321.6379,303.7691,21.4375,14.470833333333331,8.333333333333334,1014.1666666666666,224.16666666666663,4.05,4,3
4520.7987,188.3666125,89.3438,321.6379,303.7691,107.2126,196.5565,21.95,12.5,,1014.2458333333334,241.25,3.7916666666666665,4,4
4002.6042,166.775175,71.4751,375.2442,142.9502,268.0315,134.0158,19.475,3.379166666666667,,1018.775,234.58333333333337,3.904166666666667,4,5
3448.6722,143.694675,89.3438,375.2442,125.0814,178.6877,107.2126,19.766666666666666,9.4,,1023.1708333333332,157.5,4.045833333333333,4,6
4949.649,215.20213043478265,89.3438,679.0133,232.294,393.1129,125.0814,21.133333333333333,13.508333333333333,,1022.7125,91.66666666666669,3.8,4,0
7201.1141,300.04642083333334,89.3438,732.6196,321.6379,446.7192,285.9003,22.066666666666663,14.225,,1019.6875,130.5,1.804166666666667,4,1
5056.8616,229.85734545454545,89.3438,732.6196,250.1628,107.2126,142.95015,22.8875,17.179166666666667,-1.0,1017.8086956521738,65.65217391304348,1.7583333333333335,4,2
8809.3034,383.01319130434786,89.3438,732.6196,89.3438,89.3438,446.7192,22.875,18.433333333333337,30.0,1015.5304347826088,161.7391304347826,3.033333333333333,4,3
4413.5859,183.8994125,89.3438,410.9817,89.3438,125.0814,134.0158,22.458333333333332,18.8125,0.6666666666666666,1014.5909090909092,90.41666666666669,4.320833333333334,4,4
3520.1473,146.67280416666668,89.3438,321.6379,107.2126,142.9502,107.2126,21.9625,16.379166666666666,-0.5,1018.2208333333332,59.166666666666664,7.0,4,5
4181.2917,174.2204875,71.4751,321.6379,125.0814,285.9003,125.0814,20.720833333333335,12.2375,,1022.3083333333334,71.25,5.970833333333332,4,6
6522.101000000001,296.4591363636364,89.3438,661.1445,125.0814,375.2442,241.2284,20.883333333333333,13.25,-1.0,1022.8166666666666,134.58333333333334,5.7,4,0
8040.9463,335.03942916666665,89.3438,696.882,232.294,410.9817,303.7691,20.995833333333337,12.870833333333335,,1021.0125,177.08333333333334,3.745833333333333,4,1
7897.996,329.08316666666667,89.3438,732.6196,321.6379,357.3754,294.8347,21.354166666666668,12.504166666666668,,1019.3666666666668,83.75,3.7541666666666664,4,2
6325.5446,275.0236782608696,71.4751,553.9319,428.8505,125.0814,250.1628,22.95,14.775,,1018.2153846153846,109.58333333333331,5.041666666666667,4,3
4842.4362,201.768175,89.3438,661.1445,196.5565,89.3438,125.0814,23.4375,16.650000000000002,,1016.3166666666666,149.58333333333334,3.2541666666666664,4,4
4413.5856,183.8994,89.3438,428.8505,89.3438,268.0315,160.8189,24.21666666666667,16.991666666666667,1.0,1013.1652173913044,282.60869565217394,4.258333333333334,4,5
3162.7718999999997,150.6081857142857,89.3438,375.2442,196.5565,196.5565,107.2126,23.583333333333332,16.383333333333333,,1015.4,86.52173913043478,2.9,4,6
6665.051,289.7848260869565,89.3438,714.7508,196.5565,178.6877,232.294,23.2625,16.425,,1016.4333333333334,89.58333333333333,3.891666666666667,4,0
6450.6257,293.21025909090906,89.3438,714.7508,125.0814,375.2442,259.09715,23.325,14.841666666666669,,1014.6916666666666,68.18181818181819,2.325,4,1
5825.2184,242.71743333333333,89.3438,679.0133,214.4252,446.7192,214.4252,24.0,16.270833333333332,,1013.6166666666668,140.8695652173913,2.9499999999999997,4,2
6968.8199,290.36749583333335,89.3438,714.7508,196.5565,357.3754,223.3596,24.566666666666663,18.058333333333337,150.0,1015.15,134.0,2.3125,4,3
4306.3731,179.4322125,89.3438,375.2442,107.2126,107.2126,107.2126,25.65833333333333,19.3875,8.0,1014.925,76.19047619047619,1.741666666666667,4,4
3823.9162,159.32984166666668,89.3438,321.6379,89.3438,214.4252,125.0814,25.7375,19.15833333333333,-1.0,1014.9083333333332,127.08333333333331,3.8333333333333335,4,5
