sum_conso,mean_conso,min_conso,max_conso,first_conso,last_conso,median_conso,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,month,day_of_week
82.11,3.57,0.34,16.0,0.37,0.38,0.39,-11.595833333333331,0.0,-17.041666666666668,0.0,,1034.4666666666667,260.8695652173913,3.033333333333333,1,4
73.03999999999999,3.043333333333333,0.29,15.02,0.39,0.38,0.39,-9.566666666666666,0.2857142857142857,-15.0625,0.0,,1031.3291666666669,215.65217391304347,1.9625,1,5
55.19,2.299583333333333,0.24,14.0,0.39,0.38,0.39,-6.245833333333334,0.4166666666666667,-11.270833333333334,0.0,,1026.8708333333334,195.0,1.425,1,6
30.95,1.2895833333333333,0.3,5.36,0.4,0.38,0.39,-4.354166666666667,1.0,-8.116666666666667,0.0,,1017.9375,171.7391304347826,1.6083333333333334,1,0
26.49,1.10375,0.06,5.99,0.39,0.38,0.39,0.0333333333333333,,-1.3375,0.25,4.666666666666667,1011.9857142857144,122.08333333333331,1.3166666666666669,1,1
18.92,0.7883333333333332,0.09,2.77,0.38,0.39,0.39,1.4708333333333334,,-0.0458333333333333,3.3333333333333335,26.666666666666668,1007.3041666666668,112.6086956521739,1.3333333333333333,1,2
37.84,1.5766666666666669,0.25,10.64,0.39,0.38,0.39,0.5,3.75,0.1999999999999999,2.0833333333333335,25.5,1006.8409090909092,179.58333333333334,1.9208333333333336,1,3
28.28,1.1783333333333337,0.18,5.56,0.39,0.37,0.4,-0.375,1.3333333333333333,-2.066666666666667,0.0,,1012.9739130434784,201.66666666666663,1.6666666666666667,1,4
31.64,1.3183333333333334,0.19,5.96,0.39,0.39,0.39,-1.4166666666666667,2.0,-3.4416666666666664,-0.2083333333333333,-1.0,1021.0458333333332,78.69565217391305,0.9,1,5
16.9,0.7041666666666666,0.04,5.04,0.38,0.38,0.38,-2.7083333333333335,0.0,-5.233333333333333,-0.0416666666666666,1.0,1025.3772727272726,118.33333333333331,1.1375,1,6
83.4,3.626086956521739,0.38,15.86,0.39,0.38,0.39,-6.9750000000000005,0.3636363636363636,-11.083333333333334,0.0,,1032.4666666666667,175.0,3.345833333333333,1,0
78.3,3.2624999999999997,0.35,13.37,0.39,0.39,0.39,-7.504166666666666,0.0833333333333333,-11.933333333333332,0.0,,1032.825,174.16666666666666,3.283333333333333,1,1
54.23,2.2595833333333335,0.29,12.06,0.38,0.38,0.39,-6.041666666666667,0.0,-10.120833333333334,0.0,,1022.2625,184.58333333333337,2.5083333333333333,1,2
50.0299,2.0845791666666664,0.05,13.5,0.39,0.38,0.39,-2.3541666666666665,0.0,-5.395833333333333,-0.0416666666666666,1.0,1017.147619047619,170.0,2.5749999999999997,1,3
14.66,0.6108333333333333,0.14,1.95,0.38,0.37,0.39,-1.925,9.0,-3.025,1.125,7.5,1014.9304347826088,168.75,2.2208333333333337,1,4
24.47,1.0195833333333333,0.18,4.54,0.4,0.38,0.39,-1.0291666666666666,3.142857142857143,-3.3666666666666667,0.2083333333333333,4.0,1020.1875,155.0,3.1916666666666664,1,5
80.87,3.369583333333334,0.18,15.83,0.39,0.39,0.39,2.0833333333333335,0.4,-1.5291666666666668,0.0,,1022.0291666666668,139.16666666666666,2.625,1,6
12.4,0.5166666666666667,0.05,1.91,0.38,0.38,0.38,1.3333333333333333,6.5,-0.3083333333333333,3.6666666666666665,26.666666666666668,1019.2521739130434,109.16666666666669,1.8791666666666669,1,0
59.9,2.495833333333333,0.28,10.58,0.39,0.39,0.39,-0.4375,3.642857142857143,-2.1125,0.625,15.0,1021.268181818182,130.41666666666666,2.3375,1,1
41.26,1.7191666666666665,0.15,8.68,0.38,0.39,0.39,1.2041666666666666,0.6666666666666666,-3.391666666666666,0.2083333333333333,3.5,1021.7458333333334,198.75,3.5541666666666667,1,2
89.29,3.720416666666667,0.35,14.37,0.38,0.37,0.39,-3.420833333333333,0.0,-7.320833333333334,0.0,,1032.7375,191.66666666666663,3.1374999999999997,1,3
69.51,2.89625,0.22,14.51,0.39,0.38,0.39,-2.1791666666666667,0.0,-7.570833333333333,0.0,,1025.3333333333333,141.66666666666666,1.8291666666666664,1,4
23.13,0.96375,0.25,3.19,0.4,0.39,0.39,-0.9583333333333334,0.3333333333333333,-5.020833333333333,3.2916666666666665,79.0,1016.4875,140.0,2.2916666666666665,1,5
18.83,0.7845833333333334,0.25,3.74,0.37,0.38,0.39,-0.0416666666666666,9.0,-0.8541666666666666,0.5416666666666666,7.0,1015.6285714285716,103.91304347826087,1.5041666666666669,1,6
57.67,2.4029166666666666,0.28,10.31,0.39,0.4,0.39,-2.9583333333333335,0.0,-4.854166666666667,0.0,,1025.3666666666666,140.83333333333334,1.4625,1,0
81.91,3.561304347826087,0.35,16.2,0.38,0.38,0.39,-5.095833333333333,0.375,-9.125,0.0,,1034.5708333333334,160.41666666666666,2.9166666666666665,1,1
62.14,2.8245454545454547,0.36,14.0,0.39,0.4,0.39,-5.7124999999999995,0.0,-9.725,0.0,,1035.8083333333334,191.25,2.954166666666667,1,2
77.38,3.364347826086956,0.35,14.3,0.38,0.39,0.39,-4.216666666666667,0.0,-7.991666666666667,0.125,3.0,1028.6291666666666,145.83333333333334,2.4458333333333333,1,3
32.52,1.3550000000000002,0.11,5.47,0.38,0.38,0.38,0.3458333333333332,3.6666666666666665,-1.570833333333333,1.0416666666666667,9.333333333333334,1017.3782608695652,139.16666666666666,3.1916666666666664,1,4
9.34,0.3891666666666666,0.14,1.91,0.39,0.39,0.38,-0.8375,4.25,-1.3208333333333333,3.5,21.75,1010.6304347826087,247.91666666666663,3.8208333333333337,1,5
45.09,1.87875,0.15,10.71,0.38,0.38,0.385,-4.3999999999999995,4.111111111111111,-6.625,0.0,,1011.5619047619048,166.8181818181818,1.7625,1,6
41.38,1.7241666666666668,0.14,6.15,0.39,0.38,0.39,-3.8666666666666663,0.5,-9.816666666666666,0.0,,1008.2958333333332,222.5,7.054166666666667,2,0
71.31,3.1004347826086955,0.32,14.83,0.38,0.39,0.39,-8.370833333333334,0.3157894736842105,-12.641666666666666,0.0,,1022.9208333333336,197.08333333333337,2.7916666666666665,2,1
66.7,2.9,0.33,14.88,0.38,0.38,0.39,-5.8500000000000005,0.0,-10.658333333333331,0.0,,1029.9083333333333,169.58333333333334,3.2416666666666667,2,2
4.89,0.20375,0.0,0.61,0.39,0.0,0.175,-5.808333333333334,3.0,-8.816666666666666,-0.2916666666666667,0.3333333333333333,1033.1363636363635,151.25,2.716666666666667,2,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1125,2.0,-3.2624999999999997,-0.2083333333333333,-1.0,1035.6583333333333,94.58333333333331,0.7999999999999999,2,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6166666666666667,0.1052631578947368,-6.2250000000000005,0.0,,1034.7333333333331,174.7826086956522,1.9583333333333333,2,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2791666666666663,0.2608695652173913,-5.6875,0.0,,1037.3291666666669,184.16666666666663,2.1958333333333333,2,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,-5.595833333333334,0.0,,1040.4,175.83333333333334,2.2,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0541666666666667,0.0,-5.316666666666666,0.0,,1036.7041666666669,184.58333333333337,1.7583333333333335,2,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8666666666666667,2.25,-3.904166666666667,0.0,,1033.6380952380953,196.8181818181818,1.9083333333333332,2,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8833333333333333,7.0,-3.65,0.0,,1033.3555555555556,185.83333333333337,1.4083333333333334,2,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.975,9.0,-3.3833333333333333,0.0,,1031.3478260869565,190.0,1.4666666666666668,2,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9916666666666665,7.3125,-2.8166666666666664,-0.0416666666666666,-1.0,1028.1791666666666,178.75,1.5041666666666669,2,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,9.0,-0.2749999999999999,1.75,15.0,1025.7136363636364,127.91666666666669,2.025,2,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2749999999999995,0.8571428571428571,1.8708333333333331,-0.125,-1.0,1022.5583333333334,162.08333333333334,2.5708333333333333,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.404166666666666,0.0869565217391304,0.9125,0.0,,1020.0875,159.1304347826087,3.108333333333333,2,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.829166666666667,0.2222222222222222,-0.2833333333333333,0.8333333333333334,20.0,1010.2166666666668,154.16666666666666,2.6458333333333335,2,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.391666666666667,1.0,1.2958333333333334,3.9166666666666665,33.0,1006.547619047619,169.16666666666666,7.041666666666667,2,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2124999999999995,0.0869565217391304,-2.4,0.0,,1017.2833333333332,164.7826086956522,4.158333333333333,2,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.145833333333333,0.25,-2.2708333333333335,-0.1666666666666666,-1.0,1022.9625,242.08333333333337,2.725,2,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.6666666666666666,-3.3041666666666667,0.0,,1024.3958333333333,200.0,1.9375,2,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.316666666666667,0.8,-2.6374999999999997,0.0416666666666666,3.0,1019.9541666666664,237.08333333333337,3.329166666666667,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4625,0.1739130434782608,-5.404166666666666,0.0,,1025.7958333333331,257.9166666666667,2.475,2,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8625,0.0,-5.516666666666667,0.0,,1026.8083333333334,162.27272727272728,2.3958333333333335,2,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191666666666666,0.0,-4.708333333333333,0.0,,1026.3625,185.71428571428572,2.225,2,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,-2.9499999999999997,0.0,,1023.8125,153.33333333333334,2.125,2,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.266666666666667,0.0,-2.1333333333333333,0.0,,1016.6916666666666,218.75,4.2,2,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.183333333333334,0.1818181818181818,-2.891666666666667,0.0,,1020.7583333333332,145.0,2.408333333333333,2,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7625,0.6153846153846154,-3.625,0.0,,1019.8,185.41666666666663,2.6791666666666667,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.516666666666667,0.3636363636363636,-4.083333333333333,0.0,,1019.6083333333332,157.72727272727272,3.095833333333333,3,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.216666666666669,0.0,-4.570833333333334,-0.0416666666666666,-1.0,1017.3833333333332,207.5,3.5375,3,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.095833333333331,0.0,-5.7,0.0,,1017.2416666666668,196.5217391304348,2.9521739130434783,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95,0.5882352941176471,-1.0625,0.0,,1015.0625,171.0,2.191666666666667,3,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.595833333333331,0.5263157894736842,-3.1666666666666665,0.0,,1008.7166666666668,182.08333333333337,3.779166666666667,3,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.004166666666666,0.0,2.441666666666667,4.5,37.333333333333336,1002.8434782608696,206.25,6.7124999999999995,3,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.983333333333333,0.8333333333333334,-0.7166666666666667,0.2916666666666667,13.0,1007.7916666666666,164.28571428571428,1.9833333333333336,3,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.554166666666666,0.3636363636363636,-4.1875,0.0,,1011.7416666666668,138.63636363636363,1.7416666666666665,3,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9125000000000005,1.8333333333333333,-2.3125,0.0,1.0,1016.35,159.47368421052633,2.6956521739130435,3,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4625,0.0,-3.1791666666666667,0.0,,1017.4916666666668,157.5,3.8791666666666664,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.308333333333332,0.0,-2.3125,0.0,,1008.3916666666668,165.83333333333334,5.920833333333333,3,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.425,1.3333333333333333,-0.6791666666666667,0.0,,1006.4,199.58333333333337,3.533333333333333,3,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.445833333333333,1.1111111111111112,-0.5708333333333333,-0.125,-1.0,1009.5375,157.08333333333334,2.8125,3,6
14.06,0.5858333333333333,0.0,8.58,0.0,0.38,0.0,4.766666666666667,4.5,1.1791666666666667,1.8333333333333333,15.75,1010.5391304347828,209.58333333333337,4.420833333333333,3,0
32.800000000000004,1.366666666666667,0.14,8.9,0.39,0.38,0.39,0.9625,1.0,-2.4291666666666667,0.0,2.0,1022.017391304348,127.5,2.004166666666667,3,1
50.94,2.5469999999999997,0.12,15.38,0.38,0.38,0.39,4.283333333333333,2.5714285714285716,-3.170833333333333,0.0,,1022.0375,185.0,3.3166666666666664,3,2
69.1,3.2904761904761903,0.26,13.79,0.39,0.38,0.39,6.3625,3.0,-2.4166666666666665,0.0,,1016.2541666666666,253.75,2.975,3,3
71.41,3.40047619047619,0.14,15.02,0.39,0.39,0.39,3.1,0.3333333333333333,-5.241666666666666,0.0,,1020.7875,181.42857142857144,1.682608695652174,3,4
81.36,3.874285714285714,0.15,16.18,0.37,0.39,0.39,5.675,0.0,-5.304166666666666,0.0,,1022.4416666666666,180.0,1.8958333333333333,3,5
69.97,3.3319047619047617,0.16,15.68,0.37,0.38,0.39,10.170833333333333,0.0,-4.091666666666667,0.0,,1016.7791666666668,133.8095238095238,2.495833333333333,3,6
54.85,2.285416666666667,0.17,10.85,0.39,0.38,0.39,13.029166666666669,0.0,-2.5166666666666666,0.0,,1007.5583333333334,177.3913043478261,3.1458333333333335,3,0
35.160000000000004,1.465,0.2,5.44,0.39,0.39,0.39,5.041666666666667,,0.4833333333333334,3.3333333333333335,26.666666666666668,1007.45,268.3333333333333,4.2,3,1
104.79,4.36625,0.2,14.93,0.37,0.39,0.39,4.45,1.1666666666666667,-3.170833333333333,-0.0833333333333333,-1.0,1020.5833333333334,265.8333333333333,4.325,3,2
70.3,2.9291666666666667,0.23,11.12,0.38,0.37,0.39,6.508333333333333,1.0,-2.9625,-0.0833333333333333,-1.0,1017.7125,205.2173913043478,3.8333333333333335,3,3
92.13,3.83875,0.34,15.72,0.39,0.39,0.39,4.954166666666667,1.0,-6.083333333333333,0.0,,1013.3333333333334,289.09090909090907,4.108695652173913,3,4
61.56,3.0780000000000003,0.19,13.77,0.37,0.4,0.39,4.604166666666667,0.25,-4.8875,-0.0416666666666666,-1.0,1017.275,209.0909090909091,2.6458333333333335,3,5
84.5,3.5208333333333335,0.32,13.33,0.37,0.37,0.525,8.141666666666667,0.25,-5.091666666666667,0.0,,1014.0791666666668,188.75,4.795833333333333,3,6
20.96,0.8733333333333334,0.23,2.8,0.39,0.39,0.39,1.7,5.0,0.8666666666666667,4.291666666666667,32.75,1004.6954545454544,268.75,3.3708333333333336,3,0
68.78,2.8658333333333332,0.21,14.6,0.37,0.39,0.39,3.25,3.0,1.1,3.4166666666666665,23.0,1001.4363636363636,135.0,2.4875000000000003,3,1
51.11,2.129583333333333,0.31,9.55,0.37,0.39,0.39,4.058333333333333,2.0,1.1,0.0416666666666666,2.3333333333333335,1012.0958333333332,152.91666666666666,1.8458333333333332,3,2
52.25,2.1770833333333335,0.12,9.9,0.37,0.39,0.395,5.870833333333334,2.0,2.3291666666666666,1.8333333333333333,11.75,1015.1666666666666,148.2608695652174,2.3666666666666667,3,3
54.61,2.8742105263157893,0.22,13.59,0.38,0.39,0.39,6.925,0.0,-1.9208333333333336,0.0,,1021.7958333333332,149.47368421052633,2.360869565217391,4,4
87.0,4.142857142857143,0.24,16.18,0.38,0.39,0.38,9.329166666666667,0.0,-2.2666666666666666,0.0,,1022.2,167.72727272727272,2.908333333333333,4,5
111.48,4.6450000000000005,0.22,14.98,0.39,0.38,0.39,12.25,0.5217391304347826,0.5541666666666666,0.0,,1018.075,194.34782608695653,3.345833333333333,4,6
66.5,2.7708333333333335,0.21,12.24,0.38,0.38,0.39,12.541666666666666,0.8235294117647058,2.1666666666666665,-0.0833333333333333,-1.0,1017.0708333333332,196.8181818181818,3.745833333333333,4,0
96.55,4.388636363636364,0.21,14.6,0.38,0.37,0.395,8.237499999999999,0.5454545454545454,-4.654166666666667,0.0,,1025.025,208.33333333333337,3.591666666666667,4,1
70.59,3.5295,0.25,15.57,0.39,0.4,0.39,8.954166666666667,0.0,-3.904166666666667,0.0,,1029.0375,157.5,2.404166666666667,4,2
71.1,3.5549999999999997,0.27,15.82,0.38,0.39,0.39,13.270833333333334,0.0,-0.6041666666666666,0.0,,1019.8083333333334,198.1818181818182,3.217391304347826,4,3
94.19,3.924583333333333,0.18,13.81,0.38,0.37,0.8300000000000001,17.7,0.0,-2.7458333333333336,0.0,,1009.9833333333332,119.56521739130434,2.920833333333333,4,4
89.48,3.7283333333333335,0.24,15.68,0.39,0.38,0.425,15.275,1.8,4.2875000000000005,0.0,,1006.8791666666666,179.58333333333334,4.4375,4,5
105.31,4.3879166666666665,0.2,15.37,0.39,0.39,0.685,14.033333333333331,1.2307692307692308,4.6000000000000005,0.0833333333333333,5.0,1006.7166666666668,162.27272727272728,3.0833333333333335,4,6
87.45,4.164285714285715,0.22,16.17,0.38,0.4,0.4,14.233333333333334,0.5555555555555556,3.3874999999999997,0.0,,1012.6791666666668,193.0,3.3391304347826085,4,0
74.87,3.5652380952380955,0.29,16.04,0.38,0.46,0.46,14.766666666666667,0.25,2.475,-0.0416666666666666,-1.0,1014.3208333333332,199.56521739130432,3.1791666666666667,4,1
27.790000000000003,1.1579166666666667,0.08,9.15,0.36,0.39,0.385,10.925,4.0,7.245833333333334,6.375,39.5,1014.1083333333332,137.3913043478261,2.6374999999999997,4,2
15.86,0.6608333333333333,0.15,2.81,0.35,0.38,0.38,6.1499999999999995,0.75,4.05,4.291666666666667,26.0,1009.2541666666666,184.34782608695653,3.6041666666666665,4,3
117.79,4.907916666666667,0.17,15.68,0.39,0.38,0.39,5.604166666666667,2.4444444444444446,-0.3166666666666666,0.7083333333333334,8.333333333333334,1013.4478260869564,238.75,4.383333333333334,4,4
59.72,3.143157894736842,0.2,14.86,0.39,0.39,0.39,8.508333333333333,0.2727272727272727,-2.9749999999999996,0.0,,1019.0666666666666,276.8181818181818,5.0125,4,5
61.2,3.2210526315789476,0.21,15.07,0.39,0.39,0.39,9.925,0.3333333333333333,-4.929166666666666,0.0,,1021.9291666666668,58.18181818181818,5.8500000000000005,4,6
88.95,4.043181818181818,0.18,14.69,0.39,0.39,0.39,10.391666666666667,1.125,-4.241666666666666,0.0,,1021.5791666666668,128.33333333333334,3.0999999999999996,4,0
70.03,3.5015,0.26,15.42,0.38,0.39,0.39,12.404166666666669,0.0,0.2625,0.0,,1016.5416666666666,192.72727272727272,2.8874999999999997,4,1
85.08,4.051428571428572,0.15,15.57,0.38,0.38,0.39,14.908333333333331,0.0,1.6,0.0,,1012.9375,203.52941176470588,2.769565217391305,4,2
81.83,3.8966666666666665,0.06,15.53,0.39,0.39,0.39,18.0375,0.0,0.6958333333333333,0.0,,1010.5833333333334,142.6315789473684,3.1750000000000003,4,3
103.03,4.292916666666667,0.0,15.35,0.38,0.38,0.39,20.120833333333337,0.0,-2.470833333333333,0.0,,1003.6375,176.25,6.4624999999999995,4,4
40.43,1.684583333333333,0.2,7.1,0.4,0.38,0.39,10.4625,0.6666666666666666,3.154166666666667,5.375,44.333333333333336,1004.625,225.41666666666663,5.75,4,5
88.71,4.032272727272727,0.22,14.56,0.39,0.39,0.39,10.391666666666667,0.7272727272727273,3.0625,1.7083333333333333,41.0,1009.7291666666666,193.04347826086956,3.0875,4,6
60.39,2.51625,0.1,14.62,0.38,0.39,0.385,9.654166666666669,0.6666666666666666,3.7458333333333336,0.3333333333333333,1.0,1000.3304347826088,177.91666666666666,4.1375,4,0
77.62,3.234166666666667,0.18,13.79,0.39,0.38,0.39,10.004166666666666,0.0,3.8666666666666663,-0.0833333333333333,-1.0,1006.0916666666668,276.25,4.4624999999999995,4,1
63.06,2.6275,0.24,12.92,0.38,0.39,0.45,9.8875,3.5,4.091666666666667,-0.1666666666666666,-1.0,1007.1625,164.76190476190476,2.475,4,2
56.94,2.3725,0.09,9.88,0.39,0.38,0.395,9.329166666666667,0.0,0.7000000000000001,-0.25,-1.0,1004.7833333333332,84.54545454545455,5.430434782608696,4,3
73.5,3.1956521739130435,0.3,11.73,0.39,0.39,0.4,8.799999999999999,0.5,0.7124999999999999,-0.0416666666666666,-1.0,1008.9583333333334,178.63636363636363,2.391304347826087,4,4
91.96,3.8316666666666666,0.05,15.58,0.38,0.37,0.39,9.954166666666667,2.0,0.0458333333333332,0.0,,1011.7260869565216,130.0,4.266666666666667,4,5
70.42,3.3533333333333335,0.15,14.6,0.39,0.39,0.39,11.070833333333333,0.5263157894736842,-4.3875,0.0,,1015.4458333333332,122.5,6.545,5,6
126.56,5.273333333333333,0.07,15.91,0.38,0.38,0.56,13.116666666666667,0.0,-2.0124999999999997,0.0,,1018.8875,150.43478260869566,3.1833333333333336,5,0
